"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_0805_2012Metric";1;"0,1 uf";;;
2;"X1";"Conn_Poncho_Chico";1;"Conn_Poncho2P_2x_20x2";;;
3;"U3,U4,U2,U1";"DIP-6_W7.62mm";4;"4N25";;;
4;"R12,R11,R10,R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"1K";;;
5;"Q3,Q2,Q4,Q1";"TO-262-3_Vertical";4;"IRF540N";;;
6;"H4,H3,H2,H1";"MountingHole_2.2mm_M2_DIN965_Pad";4;"MountingHole";;;
7;"J3";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Screw_Terminal_01x02";;;
8;"R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"470";;;
9;"D5";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED";;;
10;"R18";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10K";;;
11;"R17";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
12;"R16,R15,R14,R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"220K";;;
13;"R8,R7,R6,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"100";;;
14;"R4,R3,R2,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"180";;;
15;"D4,D3,D2,D1";"D_SC-80_HandSoldering";4;"1N4148";;;
16;"J4";"PinHeader_1x05_P2.00mm_Vertical";1;"Conn_01x05_Male";;;
17;"J1";"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal";1;"Screw_Terminal_01x04";;;
18;"J5";"PinHeader_1x01_P2.00mm_Vertical";1;"test";;;
19;"U5";"TSSOP-10_3x3mm_P0.5mm";1;"ADS1015IDGS";;;
